sample,fastq_1,fastq_2,fastq_barcode,fastq_1_md5,fastq_2_md5,fastq_barcode_md5
ERR10889056,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/056/ERR10889056/ERR10889056_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/056/ERR10889056/ERR10889056_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/056/ERR10889056/ERR10889056.fastq.gz,d5dca9632c6ded546975cdbd13dd075e,7d85056ce09df3499f286ca37ac91094,b226b001d2037d8a96dfe7f27fed5eed
ERR10889147,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/047/ERR10889147/ERR10889147_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/047/ERR10889147/ERR10889147_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/047/ERR10889147/ERR10889147.fastq.gz,c20f3b841277042f5ffb530b0c6c2341,15f1523cb6d0335554e25a7dd8e5ac9f,af00820e0fa19701f1c5fb503de53fde
ERR10889152,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10889152/ERR10889152_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10889152/ERR10889152_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10889152/ERR10889152.fastq.gz,d4d6bdc4f4f9a032eb881b890995ff4e,57e503c8d14fb5ae871a815b18655945,9fb53553e719ad7b3cfa92eb4fc477f4
ERR10889180,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10889180/ERR10889180_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10889180/ERR10889180_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10889180/ERR10889180.fastq.gz,600eee0891a6c37b3a91cd8841abcf31,60de983c7988acc9572b38f4fcdd4803,5e1f3dda2868974f823fa6ad57e1316d
ERR10889194,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/094/ERR10889194/ERR10889194_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/094/ERR10889194/ERR10889194_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/094/ERR10889194/ERR10889194.fastq.gz,3f3d91e523d40855fdda15eb657e752f,66e02042d5ebcdaee785eae758f94b09,7011d914fd86873777b51c80908e3e9d
ERR10889205,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/005/ERR10889205/ERR10889205_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/005/ERR10889205/ERR10889205_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/005/ERR10889205/ERR10889205.fastq.gz,83613cd244c81aa97e6f42cbfb345208,f291db4e1f8711819c6713a293806dd2,681ff37f2fcdf99f9291bb8bfd87d61e
ERR10889208,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR10889208/ERR10889208_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR10889208/ERR10889208_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR10889208/ERR10889208.fastq.gz,71fb74f3cde3b437ad5350b6b238eefd,978727ea4e86a971979c919dd5a8ce14,e1de59f4bfe5bcf7d5e74b583c242a15
ERR10889211,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/011/ERR10889211/ERR10889211_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/011/ERR10889211/ERR10889211_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/011/ERR10889211/ERR10889211.fastq.gz,bb662223e2854e3299758d38a3382ec8,77543f5ea1e91bff3e5e9993b5000ba4,aa34735e91cb474ac7b296f8fde64783
ERR10889215,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/015/ERR10889215/ERR10889215_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/015/ERR10889215/ERR10889215_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/015/ERR10889215/ERR10889215.fastq.gz,e6009932fedcafab1cfe208a850fb843,942ace3cc3a437404f46878d60c1016e,9200c0860994732741e346c7a8a4fe5b
ERR10889219,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/019/ERR10889219/ERR10889219_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/019/ERR10889219/ERR10889219_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/019/ERR10889219/ERR10889219.fastq.gz,bbc07021582b9cdbda39d617428da9f7,6afc25c38b624ad0e655639323f232df,ae2c9f42c0434b15014a161176062402
ERR10889220,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/020/ERR10889220/ERR10889220_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/020/ERR10889220/ERR10889220_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/020/ERR10889220/ERR10889220.fastq.gz,59a7e46f130a4eae5602eeb0e85df25c,c2d6acafcf68e054d79c9aafc2e3824c,5fceab273d2e9bc2653c801d3da911d9
ERR10889224,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/024/ERR10889224/ERR10889224_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/024/ERR10889224/ERR10889224_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/024/ERR10889224/ERR10889224.fastq.gz,93a72891335e0912ee4eb47d640e9374,9b9aaab53d0fc3d6d69eb8b814a23380,25ac1515b187cfd035a6771c63829d84
ERR10889232,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/032/ERR10889232/ERR10889232_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/032/ERR10889232/ERR10889232_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/032/ERR10889232/ERR10889232.fastq.gz,a2ef2e227c6cd0e343dc695dcb7adae0,0dc748574eb2e4984f36345dbb1b8376,531d0631392bab29fdaaae616ef959cb
ERR10889237,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/037/ERR10889237/ERR10889237_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/037/ERR10889237/ERR10889237_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/037/ERR10889237/ERR10889237.fastq.gz,59775cb5b8c03a35a31a8c269ed5cbaa,728094a92f05570c23990a33a4e0624e,7a5fef767b85f71ad7fe6c47a7363bb9
